"","first_author","original_title","average_rating","ratings_count","ratings_1","ratings_5","genres","pages","chick_lit","if_wom","prop_one_star","prop_five_star"
"38","Louisa May Alcott","Little Women",4.04,1314293,31645,535563,"['classics', 'fiction', 'historical-fiction', 'young-adult', 'romance']",449,"no","yes",0.0240775839177413,0.407491328037203
"39","Charlotte Brontë","Jane Eyre",4.1,1286135,35132,574221,"['classics', 'fiction', 'romance', 'historical-fiction']",532,"no","yes",0.0273159505028632,0.446470238349784
"40","Yann Martel","Life of Pi",3.88,1077431,39768,360466,"['fiction', 'fantasy', 'classics', 'contemporary', 'philosophy']",460,"no","no",0.0369100202240329,0.334560635437443
"41","Sara Gruen","Water for Elephants",4.07,1108839,16705,424820,"['fiction', 'historical-fiction', 'romance', 'contemporary']",335,"no","yes",0.0150653070463791,0.383121445042968
"42","Markus Zusak","The Book Thief",4.36,1287798,17892,722056,"['historical-fiction', 'fiction', 'young-adult', 'classics']",552,"no","no",0.0138934832947403,0.560690418838979
"43","Stephenie Meyer","New Moon (Twilight, #2)",3.52,1199000,102837,350684,"['young-adult', 'fantasy', 'romance', 'fiction', 'paranormal']",563,"no","yes",0.0857689741451209,0.292480400333611
"44","Shel Silverstein","Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein",4.29,1023781,16590,544153,"['poetry', 'classics', 'fiction', 'young-adult', 'fantasy']",176,"no","no",0.0162046375152498,0.531513087271594
"45","Cassandra Clare","City of Bones",4.12,1241799,34122,582814,"['fantasy', 'young-adult', 'paranormal', 'romance', 'fiction']",485,"no","yes",0.0274778768544668,0.469330382775312
"46","Stephenie Meyer","Eclipse",3.69,1176642,83094,399134,"['young-adult', 'fantasy', 'romance', 'fiction', 'paranormal']",629,"no","yes",0.0706196107227177,0.339214476450781
"47","Christopher Paolini","Eragon",3.86,1125231,50563,408032,"['fantasy', 'young-adult', 'fiction']",503,"no","no",0.0449356620996044,0.362620653003694
"48","Douglas Adams","The Hitchhiker's Guide to the Galaxy",4.2,1006479,21764,498001,"['science-fiction', 'fiction', 'fantasy', 'classics']",193,"no","no",0.0216238987599344,0.494795221758228
"49","Aldous Huxley","Brave New World",3.97,1079135,26367,383166,"['classics', 'fiction', 'science-fiction', 'fantasy', 'philosophy']",288,"no","no",0.0244334582790846,0.355067716272756
"50","Stephenie Meyer","Breaking Dawn",3.7,1107709,100994,410714,"['young-adult', 'fantasy', 'romance', 'fiction', 'paranormal']",756,"no","yes",0.0911737649509032,0.370777884805486
"51","Sue Monk Kidd","The Secret Life of Bees",4.01,937393,17500,341267,"['fiction', 'historical-fiction', 'young-adult', 'classics', 'contemporary', 'chick-lit']",302,"yes","yes",0.0186687973987431,0.364059684678678
"52","Mark Twain","The Adventures of Huckleberry Finn",3.8,1001491,28467,296316,"['classics', 'fiction', 'historical-fiction', 'young-adult']",327,"no","no",0.0284246188932302,0.295874850597759
"53","E.B. White","Charlotte's Web",4.15,1084842,18450,487763,"['classics', 'fiction', 'young-adult', 'fantasy']",184,"no","no",0.0170070849026863,0.449616626199944
"54","Mark Haddon","The Curious Incident of the Dog in the Night-Time",3.85,915790,21049,262481,"['fiction', 'mystery', 'young-adult', 'contemporary', 'classics', 'psychology']",226,"no","no",0.0229845270203868,0.286617019185621
"55","Paula Hawkins","The Girl on the Train",3.88,1226485,27773,362551,"['fiction', 'mystery', 'thriller', 'crime', 'suspense', 'contemporary']",325,"no","no",0.0226443861930639,0.295601658397779
"56","Philip Pullman","Northern Lights",3.94,994914,38382,380030,"['fantasy', 'young-adult', 'fiction', 'science-fiction']",399,"no","no",0.0385782087698032,0.381972713219434
"57","Emily Brontë","Wuthering Heights",3.82,1001135,46469,346082,"['classics', 'fiction', 'romance', 'historical-fiction']",464,"no","yes",0.0464163174796606,0.345689642256039
"58","Jodi Picoult","My Sister's Keeper",4.06,887880,17547,350994,"['fiction', 'contemporary', 'chick-lit', 'young-adult']",423,"yes","yes",0.0197628057845655,0.395316934720908
"59","Kurt Vonnegut Jr.","Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",4.06,891762,24964,367890,"['classics', 'fiction', 'science-fiction', 'historical-fiction', 'fantasy']",275,"no","no",0.0279940163406828,0.412542808507203
"60","Margaret Mitchell","Gone with the Wind",4.28,897303,19996,493721,"['classics', 'historical-fiction', 'fiction', 'romance']",1037,"no","yes",0.0222845571674228,0.55022773801046
"61","Khaled Hosseini","A Thousand Splendid Suns",4.34,866065,6509,446694,"['fiction', 'historical-fiction', 'contemporary']",372,"no","no",0.00751560217766565,0.515774220179779
"62","Stephen Chbosky","The Perks of Being a Wallflower",4.21,954905,14286,461020,"['young-adult', 'fiction', 'contemporary', 'romance', 'classics']",213,"no","yes",0.0149606505359172,0.48279148187516
"63","Veronica Roth","Insurgent",4.07,947338,10641,369969,"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']",525,"no","yes",0.0112325273556006,0.390535373858116
"64","Orson Scott Card","Ender's Game",4.3,873417,15330,462829,"['science-fiction', 'fiction', 'young-adult', 'fantasy', 'classics']",324,"no","no",0.0175517536297095,0.529906104415188
"65","Stephen King","The Shining",4.17,830881,18487,382158,"['horror', 'fiction', 'thriller', 'classics', 'fantasy', 'mystery', 'paranormal', 'suspense']",659,"no","no",0.0222498769378527,0.459943120615347
"66","Stephenie Meyer","The Host",3.84,777560,44215,288758,"['young-adult', 'science-fiction', 'fantasy', 'romance', 'fiction', 'paranormal']",620,"no","yes",0.0568637790009774,0.371364267709244
"67","John Green","Looking for Alaska",4.09,831285,16940,359857,"['young-adult', 'fiction', 'contemporary', 'romance', 'mystery']",221,"no","yes",0.0203780893436066,0.432892449641218
"68","Helen Fielding","",3.75,754498,28973,212825,"['fiction', 'chick-lit', 'romance', 'contemporary']",288,"yes","yes",0.0384003668664463,0.282074969052271
"69","Jane Austen","Sense and Sensibility",4.06,779382,18430,311754,"['classics', 'fiction', 'historical-fiction']",409,"no","no",0.0236469407812857,0.40000153968144
"70","Louis Sachar","Holes",3.93,764637,15495,259257,"['young-adult', 'fiction', 'classics', 'mystery', 'contemporary']",233,"no","no",0.0202645176730919,0.339058926000181
"71","Lauren Weisberger","The Devil Wears Prada",3.7,679845,24231,178250,"['chick-lit', 'fiction', 'contemporary', 'romance']",432,"yes","yes",0.0356419477969243,0.26219211732086
"72","Homer","Ὀδύσσεια",3.73,710757,29703,208223,"['classics', 'fiction', 'poetry', 'fantasy', 'historical-fiction']",541,"no","no",0.0417906541898286,0.292959478415267
"73","Antoine de Saint-Exupéry","Le Petit Prince",4.28,859286,15039,468227,"['classics', 'fiction', 'fantasy', 'young-adult', 'philosophy']",93,"no","no",0.0175017398165454,0.544902395709927
"74","Jeannette Walls","The Glass Castle",4.24,637866,7901,298102,"['nonfiction', 'memoir', 'biography', 'contemporary']",288,"no","no",0.0123866141164445,0.467342670717674
"75","Jon Krakauer","Into the Wild",3.94,665377,19229,227095,"['nonfiction', 'biography', 'travel', 'classics', 'memoir']",207,"no","no",0.0288994059007149,0.341302750170204
"76","Charles Dickens","A Tale of Two Cities",3.81,677713,28904,223571,"['classics', 'fiction', 'historical-fiction']",489,"no","no",0.0426493220581574,0.329890381326609
"77","Shel Silverstein","The Giving Tree",4.38,708287,15345,428921,"['classics', 'fiction', 'poetry', 'young-adult', 'fantasy']",64,"no","no",0.0216649465541511,0.605575141150409
"78","John Grisham","A Time to Kill",4.03,608824,12106,229488,"['fiction', 'mystery', 'thriller', 'crime', 'suspense']",515,"no","no",0.0198842358382718,0.376936520242303
"79","Elie Wiesel","Un di Velt Hot Geshvign",4.3,707879,7761,360777,"['nonfiction', 'classics', 'history', 'memoir', 'biography']",115,"no","no",0.0109637381529894,0.509659136660361
"80","John Green","Paper Towns",3.88,655271,14105,215609,"['young-adult', 'contemporary', 'fiction', 'romance', 'mystery']",305,"no","yes",0.0215254451974832,0.329037909506143
"81","William Goldman","The Princess Bride",4.25,658042,12883,338235,"['fantasy', 'fiction', 'classics', 'romance', 'young-adult']",456,"no","yes",0.0195777777102373,0.514002145759693
"82","S.E. Hinton","The Outsiders",4.06,680437,10178,274419,"['classics', 'young-adult', 'fiction', 'historical-fiction', 'contemporary']",192,"no","no",0.0149580343220607,0.40329817455547
"83","James Dashner","The Maze Runner",4.02,777956,15291,302109,"['young-adult', 'science-fiction', 'fiction', 'fantasy', 'mystery']",384,"no","no",0.0196553532590532,0.388336872522353
"84","Steven D. Levitt","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything",3.93,549301,14586,176072,"['nonfiction', 'business', 'science', 'psychology']",320,"no","no",0.026553747398967,0.320538284110169
"85","Frances Hodgson Burnett","The Secret Garden",4.12,692249,8005,285570,"['classics', 'fiction', 'young-adult', 'historical-fiction', 'fantasy']",331,"no","no",0.0115637581274946,0.412524972950485
"86","Gabriel García Márquez","Cien años de soledad",4.04,575667,27340,267197,"['fiction', 'classics', 'fantasy', 'historical-fiction']",417,"no","no",0.0474927345149192,0.464152018441217
"87","Oscar Wilde","The Picture of Dorian Gray",4.06,674551,9825,257679,"['classics', 'fiction', 'horror', 'fantasy']",272,"no","no",0.0145652441401762,0.382000767918215
"88","E.L. James","Fifty Shades Freed",3.88,610116,39079,265079,"['romance', 'fiction', 'contemporary', 'chick-lit']",579,"yes","yes",0.0640517540926644,0.434473116587665
"89","Bram Stoker","Dracula",3.98,689739,11756,243825,"['classics', 'horror', 'fiction', 'fantasy', 'paranormal']",488,"no","no",0.0170441282862068,0.353503281676112
"90","Stieg Larsson","Flickan som lekte med elden",4.22,649253,4623,279592,"['fiction', 'mystery', 'thriller', 'crime', 'suspense', 'contemporary']",503,"no","no",0.00712049077940341,0.430636439107713
"91","E.L. James","Fifty Shades Darker",3.87,623340,37245,262051,"['romance', 'fiction', 'contemporary', 'chick-lit']",532,"yes","yes",0.0597506978534989,0.420398177559598
"92","Barbara Kingsolver","The Poisonwood Bible",4.02,562787,21699,239071,"['fiction', 'historical-fiction', 'classics', 'religion']",546,"no","no",0.0385563277047977,0.424798369543006
"93","David Sedaris","Me Talk Pretty One Day",3.97,514276,19718,194076,"['nonfiction', 'memoir', 'biography']",272,"no","no",0.0383412797797292,0.377377128234644
"94","Maurice Sendak","Where the Wild Things Are",4.22,636061,15392,332394,"['fiction', 'classics', 'fantasy', 'young-adult']",37,"no","no",0.0241989368944174,0.522581953617656
"95","Alexandre Dumas","Le Comte de Monte-Cristo",4.21,601220,10381,295235,"['classics', 'fiction', 'historical-fiction', 'romance']",1276,"no","yes",0.0172665579987359,0.49105984498187
"96","Cormac McCarthy","The Road",3.95,555787,20086,207328,"['fiction', 'science-fiction', 'classics', 'horror', 'contemporary']",241,"no","no",0.0361397441825735,0.373034993621657
"97","Veronica Roth","Allegiant",3.63,663226,31626,184388,"['young-adult', 'fiction', 'science-fiction', 'fantasy', 'romance']",526,"no","yes",0.0476851028156315,0.278016844936718
"98","Tina Fey","Bossypants",3.94,609260,14842,203187,"['nonfiction', 'memoir', 'biography']",283,"no","no",0.0243606998654105,0.333498013984177
"99","Sophie Kinsella","Confessions of a Shopaholic",3.61,558004,30705,146787,"['chick-lit', 'fiction', 'romance', 'contemporary', 'young-adult']",368,"yes","yes",0.0550264872653243,0.263057254069863
"100","Victor Hugo","Les Misérables",4.14,560132,15225,264147,"['classics', 'fiction', 'historical-fiction', 'romance']",1463,"no","yes",0.027181093028072,0.471579913306149
"101","George R.R. Martin","A Clash of Kings",4.4,606765,1788,320000,"['fantasy', 'fiction']",969,"no","no",0.00294677511062767,0.527387044407637
"102","Kim Edwards","The Memory Keeper's Daughter",3.64,510582,19453,115538,"['fiction', 'contemporary', 'historical-fiction', 'chick-lit']",401,"yes","yes",0.0380996588207183,0.22628686479351
"103","Joseph Heller","Catch-22",3.98,582515,20639,230950,"['classics', 'fiction', 'historical-fiction']",453,"no","no",0.0354308472743191,0.396470477155095
"104","Mitch Albom","Tuesdays with Morrie",4.06,584397,11507,240462,"['nonfiction', 'memoir', 'biography', 'classics', 'philosophy', 'self-help', 'contemporary']",210,"no","no",0.0196903817096939,0.411470284755055
"105","Jeffrey Eugenides","Middlesex",3.98,507998,19329,197327,"['fiction', 'historical-fiction', 'contemporary', 'classics']",529,"no","no",0.0380493623990646,0.388440505671282
"106","Mark Twain","The Adventures of Tom Sawyer",3.89,594226,12130,186192,"['classics', 'fiction', 'young-adult', 'historical-fiction']",244,"no","no",0.020413108817184,0.313335330328865
"107","Amy Tan","The Joy Luck Club",3.9,525243,14802,167566,"['fiction', 'historical-fiction', 'classics', 'contemporary']",288,"no","no",0.0281812418252123,0.319025670023208
"108","Margaret Atwood","The Handmaid's Tale",4.06,683564,13998,267088,"['fiction', 'classics', 'science-fiction', 'fantasy']",314,"no","no",0.0204779654867723,0.390728593079799
"109","Ann Brashares","The Sisterhood of the Traveling Pants",3.75,536604,14996,149784,"['young-adult', 'fiction', 'chick-lit', 'contemporary', 'romance']",294,"yes","yes",0.0279461204165455,0.279133215555605
"110","Vladimir Nabokov","Lolita",3.88,517990,21091,185553,"['classics', 'fiction', 'romance']",331,"no","yes",0.0407170022587309,0.358217340103091
"111","Gregory Maguire","Wicked: The Life and Times of the Wicked Witch of the West",3.52,525498,40802,133217,"['fantasy', 'fiction', 'classics']",406,"no","no",0.0776444439369893,0.253506197930344
"112","John Grisham","The Firm",3.99,488355,5075,160652,"['fiction', 'thriller', 'mystery', 'suspense', 'crime']",76,"no","no",0.0103920303877302,0.328965609034411
"113","William Shakespeare","The Tragicall Historie of Hamlet, Prince of Denmark",4,576894,10413,219807,"['classics', 'fiction', 'poetry']",289,"no","no",0.0180501097255302,0.381018003307367
"114","Malcolm Gladwell","The Tipping Point: How Little Things Can Make a Big Difference",3.92,499066,15111,162511,"['nonfiction', 'business', 'psychology', 'science', 'self-help', 'philosophy']",301,"no","no",0.0302785603507352,0.325630277358105
"115","Walter Isaacson","Steve Jobs",4.09,579256,19680,245159,"['biography', 'nonfiction', 'business', 'history', 'memoir']",627,"no","no",0.0339746157139503,0.423230834035383
"116","Ken Kesey","One Flew Over the Cuckoo's Nest",4.18,514458,5672,222472,"['classics', 'fiction', 'psychology', 'contemporary']",325,"no","no",0.0110251954484137,0.432439577186087
"117","Ernest Hemingway","The Old Man and the Sea",3.73,574328,28645,170136,"['classics', 'fiction']",96,"no","no",0.0498756807956429,0.296234904096614
"118","John Steinbeck","The Grapes of Wrath",3.92,553352,23552,212475,"['classics', 'fiction', 'historical-fiction']",479,"no","no",0.0425624195810262,0.383978010380373
"119","Mitch Albom","The Five People You Meet in Heaven",3.9,474699,12360,165040,"['fiction', 'contemporary', 'fantasy', 'spirituality', 'classics', 'philosophy']",196,"no","no",0.0260375522172998,0.347672946435531
"120","L.M. Montgomery","Anne of Green Gables",4.23,533352,8864,265976,"['classics', 'fiction', 'young-adult', 'historical-fiction']",320,"no","no",0.0166194183203588,0.498687545935892
"121","Cassandra Clare","City of Glass",4.34,630560,6646,348071,"['fantasy', 'young-adult', 'paranormal', 'romance', 'fiction']",541,"no","yes",0.0105398376046689,0.552002981476783
"122","George R.R. Martin","A Storm of Swords",4.54,527644,1456,335682,"['fantasy', 'fiction']",1177,"no","no",0.00275943628658717,0.636190310133347
"123","Rebecca Wells","Divine Secrets of the Ya-Ya Sisterhood",3.79,470508,15795,140552,"['fiction', 'chick-lit', 'contemporary', 'historical-fiction']",383,"yes","yes",0.0335700987018287,0.298723932430479
"124","Diana Gabaldon","Outlander",4.2,578842,20998,309960,"['historical-fiction', 'romance', 'fantasy', 'fiction']",850,"no","yes",0.0362758749365112,0.535482912435518
"125","Nathaniel Hawthorne","The Scarlet Letter",3.37,559246,34813,96209,"['classics', 'fiction', 'historical-fiction']",279,"no","no",0.0622498864542616,0.172033416421396
"126","Ransom Riggs","Miss Peregrine’s Home for Peculiar Children",3.89,672222,14920,217849,"['fantasy', 'young-adult', 'fiction', 'paranormal', 'mystery', 'horror', 'historical-fiction']",352,"no","no",0.0221950486595202,0.324072999693554
"127","Stieg Larsson","Luftslottet som sprängdes",4.2,526791,3823,226511,"['fiction', 'mystery', 'thriller', 'crime', 'suspense', 'contemporary']",566,"no","no",0.00725714752150284,0.429982668648477
"128","Andy Weir","The Martian",4.39,529702,4114,291671,"['science-fiction', 'fiction', 'thriller']",384,"no","no",0.00776663104915594,0.550632242279621
"129","Ken Follett","The Pillars of the Earth",4.29,495893,9248,263882,"['historical-fiction', 'fiction', 'fantasy', 'classics']",976,"no","no",0.0186491844006671,0.532134956532962
"130","Anthony Doerr","",4.31,547827,6209,280832,"['historical-fiction', 'fiction']",531,"no","no",0.0113338699991056,0.512628986888196
"131","Laura Hillenbrand","Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4,528552,10308,313339,"['nonfiction', 'history', 'biography', 'memoir']",492,"no","no",0.0195023384643327,0.592825303849006
"132","Dan Brown","Deception Point",3.67,479733,14380,116346,"['fiction', 'thriller', 'mystery', 'suspense', 'crime', 'science-fiction']",556,"no","no",0.0299750069309387,0.242522403086717
"133","Donna Tartt","The Goldfinch",3.87,463847,19164,162465,"['fiction', 'contemporary', 'art', 'mystery']",771,"no","no",0.0413153475176082,0.350255579964945
"134","Tracy Chevalier","Girl with a Pearl Earring",3.85,492177,11525,139246,"['historical-fiction', 'fiction', 'classics', 'art', 'romance']",233,"no","yes",0.0234163725651544,0.282918543532103
"135","Gayle Forman","If I Stay",3.96,567087,12666,205755,"['young-adult', 'romance', 'contemporary', 'fiction', 'music']",201,"no","yes",0.0223351972448672,0.362827925873808
"136","Anita Diamant","The Red Tent",4.16,449217,9470,206075,"['historical-fiction', 'fiction', 'religion']",324,"no","no",0.0210811256029937,0.458742656667045
"137","Rick Riordan","The Sea of Monsters",4.23,550512,2967,253546,"['fantasy', 'young-adult', 'fiction']",279,"no","no",0.00538952829366117,0.460563984073008
"138","Nicholas Sparks","Dear John",4.01,454781,9683,179965,"['romance', 'fiction', 'chick-lit', 'contemporary', 'young-adult']",276,"yes","yes",0.0212915667101308,0.395717938964029
"139","Cassandra Clare","City of Ashes",4.21,586008,6135,274238,"['fantasy', 'young-adult', 'paranormal', 'romance', 'fiction']",453,"no","yes",0.0104691403530327,0.467976546395271
"140","William Shakespeare","The Tragedy of Macbeth",3.88,524826,10551,167642,"['classics', 'fiction', 'poetry']",249,"no","no",0.0201038058327903,0.319423961465324
"141","J.R.R. Tolkien","The Two Towers",4.42,532209,3013,307267,"['fantasy', 'fiction', 'classics']",322,"no","no",0.0056613097486138,0.577342735654602
"142","Emily Giffin","Something Borrowed",3.83,435189,16019,137044,"['chick-lit', 'romance', 'fiction', 'contemporary']",322,"yes","yes",0.0368092943525687,0.314906856561172
"143","Dr. Seuss","Green Eggs and Ham",4.29,461041,6605,251282,"['classics', 'fiction', 'poetry', 'fantasy', 'young-adult']",62,"no","no",0.0143262746697148,0.54503178676083
"144","Roald Dahl","Charlie and the Chocolate Factory",4.1,494747,6236,198862,"['fantasy', 'fiction', 'classics', 'young-adult']",176,"no","no",0.0126044220581428,0.401946853644388
"145","Rick Riordan","The Battle of the Labyrinth",4.39,537708,2435,292783,"['fantasy', 'young-adult', 'fiction']",361,"no","no",0.00452848014163821,0.544501848586965
"146","Charles Dickens","Great Expectations",3.75,507187,22811,148996,"['classics', 'fiction', 'historical-fiction']",505,"no","no",0.0449755218489433,0.293769359230422
"147","Albert Camus","L’Étranger",3.96,483623,10563,169043,"['classics', 'fiction', 'philosophy']",123,"no","no",0.0218413929858588,0.349534658194503
"148","Rick Riordan","The Lost Hero",4.35,489495,5020,266120,"['fantasy', 'young-adult', 'fiction']",553,"no","no",0.0102554673694318,0.543662345887088
"149","Rainbow Rowell","Eleanor & Park",4.11,579753,12904,249784,"['young-adult', 'romance', 'contemporary', 'fiction']",328,"no","yes",0.0222577545954915,0.430845549742735
"150","George R.R. Martin","A Feast for Crows",4.1,481130,3170,189012,"['fantasy', 'fiction']",1061,"no","no",0.00658865587263318,0.392850165236007
"151","Ally Condie","Matched",3.68,530680,24343,149091,"['young-adult', 'romance', 'science-fiction', 'fiction', 'fantasy']",369,"no","yes",0.0458713348910831,0.280943318007085
"152","Neil Gaiman","American Gods",4.11,518343,9888,221912,"['fantasy', 'fiction', 'science-fiction', 'contemporary']",635,"no","no",0.0190761715697907,0.428118060820731
"153","Stephen King","The Stand",4.34,469953,5647,259874,"['horror', 'fiction', 'fantasy', 'science-fiction', 'thriller', 'classics']",1153,"no","no",0.0120160952265439,0.552978702125532
"154","Nicholas Sparks","The Last Song",4.14,438429,7253,195420,"['romance', 'fiction', 'young-adult', 'contemporary', 'chick-lit']",390,"yes","yes",0.0165431575009865,0.445727814537816
"155","Dan Brown","Digital Fortress",3.6,447503,16592,103179,"['fiction', 'thriller', 'mystery', 'suspense', 'crime', 'science-fiction']",510,"no","no",0.0370768464122028,0.230566052071159
